Benchmark,latency-Q5,memory
1,1529.525,605.0416685740153,40,0.18181819,13.17741935483871
2,3052.5,1639.550828552246,60,0.1875,6.785714285714286
3,3147.45,1790.674636077881,80,0.1904762,6.785714285714286
4,3124.9,1790.7562316894532,100,0.1923077,6.224137931034483
5,3110.55,1790.8181701660155,120,0.19354838,6.551724137931035
6,3103.55,1790.72689743042,140,0.19444445,6.785714285714286
7,3114.7,1790.8188331604003,160,0.19512194,7.037037037037037
8,3107.6,1790.8628036499024,180,0.19565217,6.666666666666667
9,3091.35,1790.814485168457,200,0.19607843,6.785714285714286
10,3088.4,1790.9656913757324,220,0.19642857,6.762711864406779
Finale Results,3104.0,1791.0481605529785,224,0.19649123,6.909090909090909

AVERAGES,2961,1669,,0.9824561499999999
