Benchmark,latency-Q1,memory
1,979.1967213114754,537.0552092332107,122,0.18769231,37.42424242424242
2,904.2363636363636,720.7189518321644,232,0.19333333,37.30909090909091
3,960.9166666666666,720.8840115865072,352,0.19555555,37.377049180327866
4,881.0333333333333,721.1019414265951,472,0.19666667,38.0
5,901.8583333333333,721.2724882761637,592,0.19733334,38.0
6,875.1916666666667,721.4584318796793,712,0.19777778,38.0
7,913.3916666666667,721.6266581217448,832,0.19809523,38.0
8,860.025,721.8284867604574,952,0.19833334,38.0
9,915.7,722.0121917724609,1072,0.19851851,38.0
Finale Results,879.3888888888889,722.1537077162001,1162,0.19863248,38.0

AVERAGES,907,703,,0.9931624
