Benchmark,latency-Q1,memory
1,921.8360655737705,319.0992302527794,122,0.18769231,38.0
2,876.675,374.49032338460285,242,0.1936,37.36666666666667
3,873.025,374.69359016418457,362,0.19567567,38.0
4,888.2916666666666,374.83698717753094,482,0.1967347,38.0
5,911.5333333333333,375.04759152730304,602,0.19737706,38.0
6,876.6,375.227778116862,722,0.19780822,38.0
7,842.1652892561983,375.4443613688151,843,0.19835295,37.377049180327866
8,900.3361344537815,375.6244525909424,962,0.19835052,37.377049180327866
9,894.225,375.7698205312093,1082,0.1985321,37.36666666666667
10,902.425,375.9937496185303,1202,0.19867769,38.0
Finale Results,946.8,376.10189056396484,1212,0.19868852,38.0

AVERAGES,893,370,,0.9934426
